"sensorId","type","value","createdAt"
"28F64A43D4E13CC9","TEMPERATURE",20.9,"2023-12-28 03:21:27.36+00"
"B4:8A:0A:81:06:00-Hiveweight","WEIGHT",34989.972,"2023-12-19 04:50:38.154+00"
"B4:8A:0A:81:06:00-Hiveweight","WEIGHT",35118.03,"2023-12-13 01:19:18.125+00"
"B4:8A:0A:81:06:00-BatteryVoltage","BATTERY_VOLTAGE",3.951,"2023-12-19 04:50:38.078+00"
"28214043D4E13C35","TEMPERATURE",15.34,"2023-12-19 04:50:38.13+00"
"287C5E43D4E13C8F","TEMPERATURE",17.71,"2023-12-13 01:19:18.088+00"
"28A53A43D4E13CD3","TEMPERATURE",6.9,"2023-12-13 01:19:18.104+00"
"28D00594970203C6","AMBIENT_TEMPERATURE",23,"2023-09-07 17:07:46.593+00"
"28D00594970203C6","AMBIENT_TEMPERATURE",2.5,"2023-12-28 03:21:27.334+00"
"28214043D4E13C35","TEMPERATURE",15.84,"2023-12-28 03:21:27.373+00"
"B4:8A:0A:81:06:00-Hiveweight","WEIGHT",35108.632,"2023-12-08 00:38:59.057+00"
"B4:8A:0A:81:06:00-BatteryVoltage","BATTERY_VOLTAGE",3.774,"2023-10-21 13:38:27.301+00"
"B4:8A:0A:81:06:00-BatteryVoltage","BATTERY_VOLTAGE",3.648,"2023-10-22 19:10:37+00"
"B4:8A:0A:81:06:00-BatteryVoltage","BATTERY_VOLTAGE",3.846,"2023-11-21 18:02:35.3+00"
"B4:8A:0A:81:06:00-BatteryVoltage","BATTERY_VOLTAGE",3.806,"2023-12-08 00:38:58.977+00"
"287C5E43D4E13C8F","TEMPERATURE",17.21,"2023-12-08 00:38:59.032+00"
"28F64A43D4E13CC9","TEMPERATURE",26.9,"2023-12-08 00:38:59.039+00"
